Misumena fidelis Banks, 1898 | USA, Mexico
Misumena luteovariata Mello-Leitão, 1929 | Brazil
Misumena maronica Caporiacco, 1954 | French Guiana
Misumena nigripes (Taczanowski, 1872) | Peru, French Guiana
Misumena peninsulana Banks, 1898 | Mexico
Misumena platimanu Mello-Leitão, 1929 | Brazil
Misumena rubripes Keyserling, 1880 | Peru
Misumena spinigaster Mello-Leitão, 1929 | Brazil
Misumena terrosa Soares, 1944 | Brazil
Misumena viridans Mello-Leitão, 1917 | Brazil
Misumenoides annulipes (O. Pickard-Cambridge, 1891) | Mexico, Guatemala
Misumenoides athleticus (Mello-Leitão, 1944) | Brazil, Argentina
Misumenoides bifissus F. O. Pickard-Cambridge, 1900 | Guatemala
Misumenoides blandus (O. Pickard-Cambridge, 1891) | Guatemala, Panama
Misumenoides carminatus Mello-Leitão, 1941 | Argentina
Misumenoides chlorophilus (Holmberg, 1881) | Argentina
Misumenoides corticatus Mello-Leitão, 1929 | Brazil
Misumenoides crassipes (Keyserling, 1880) | Colombia
Misumenoides dasysternon Mello-Leitão, 1943 | Chile
Misumenoides decipiens Caporiacco, 1955 | Venezuela
Misumenoides depressus (O. Pickard-Cambridge, 1891) | Guatemala
Misumenoides eximius Mello-Leitão, 1938 | Argentina
Misumenoides fusciventris Mello-Leitão, 1929 | Brazil
Misumenoides gerschmanae Mello-Leitão, 1944 | Argentina
Misumenoides illotus Soares, 1944 | Brazil
Misumenoides magnus (Keyserling, 1880) | Mexico to Colombia
Misumenoides nigripes Mello-Leitão, 1929 | Brazil
Misumenoides nigromaculatus (Keyserling, 1880) | Brazil
Misumenoides obesulus (Gertsch & Davis, 1940) | Mexico
Misumenoides parvus (Keyserling, 1880) | Mexico to Colombia
Misumenoides paucispinosus Mello-Leitão, 1929 | Brazil, Guyana
Misumenoides proseni Mello-Leitão, 1944 | Argentina
Misumenoides quetzaltocatl Jiménez, 1992 | Mexico
Misumenoides roseiceps Mello-Leitão, 1949 | Brazil
Misumenoides rubrithorax Caporiacco, 1947 | Guyana
Misumenoides rubroniger Mello-Leitão, 1947 | Brazil
Misumenoides rugosus (O. Pickard-Cambridge, 1891) | Guatemala, Panama
Misumenoides similis (Keyserling, 1881) | Brazil
Misumenoides tibialis (O. Pickard-Cambridge, 1891) | Panama, Brazil
Misumenoides vazquezae (Jiménez, 1986) | Mexico
Misumenoides vigilans (O. Pickard-Cambridge, 1890) | Guatemala
Misumenoides vulneratus Mello-Leitão, 1929 | Brazil
Misumenops anachoretus (Holmberg, 1876) | Argentina
Misumenops bellulus (Banks, 1896) | USA, Cuba, Jamaica, Virgin Is., Dominica
